,id_l1,NGC,TAREA,SP1,SP2,SP3,SP4,SP5,PCT1,PCT2,PCT3,PCT4,PCT5,BPH,TPH,QMD,MVOL,MVOL2,GVOL,GVOL2,HLOR,HLW,HD,CCF,CC,SI,AGE,BHAGE,AWSI,PLSI,SWSI,SIAREA,LCC,SC1COV,S01COV,CDENS,LCSOURCE,SCM,NOTE,AVISI,AVIBHAGE,TPR
4,1275880,3,956.86,Aw,Pl,NA,NA,NA,80,20,0,0,0,2.156958,132.482154,14.397837,2.655855,1.754517,7.700642,4.679103,3.467754,1,3.886102,62.449166,43.703191,8.451433,21,13,10.765598,10.181859,14.102558,956.86,VF,0,0,B,CCGC,NA,NA,15.302029,15,M
4,1614424,5,1868.59,Aw,Pl,Sw,Pb,NA,60,24,10,6,0,10.918521,1238.585641,10.594341,9.897639,11.143152,20.756165,33.99439,5.574606,1,6.242792,43.707355,33.109128,7.387892,41,32,6.518203,11.488463,11.561439,1868.59,VF,0,0,B,CCGC,NA,NA,11.480969,35,F
5,1008174,1,425.03,Fb,Sw,NA,NA,NA,75,25,0,0,0,17.78,732.71,17.57741,46.87,66.84,77.27,106.82,12.49,1,13.99,400,97.477703,6.997314,100,85,5,3,7.81,425.03,VF,0,0,D,CCGC,NA,NA,8.669554,85,F
4,1614385,26,9077.04,Aw,Pl,NA,NA,NA,86,14,0,0,0,17.607293,1072.598939,14.457149,45.557761,36.563443,82.27586,74.663219,8.051291,1,9.018919,83.082779,53.436889,8.610652,53,46,9.866446,12.369804,11.205918,9077.04,VF,0,0,C,CCGC,NA,NA,11.399583,47,F
3,1542128,4,1753.73,Pl,Sw,NA,NA,NA,93,7,0,0,0,5.742759,518.819334,11.871546,3.224724,1.928564,10.859837,8.360944,1.905168,1,2.131915,131.759973,70.245558,7.832209,17,5,7.418188,11.985954,19.209312,1753.73,VF,0,0,D,CCGC,NA,NA,11.195865,7,F
4,1614860,2,791.45,Aw,Pl,Pb,Sw,NA,62,14,14,10,0,30.903589,652.844674,24.550175,152.583274,202.683887,213.297603,229.663678,15.328019,1,17.16953,111.530609,64.15914,11.797057,89,84,13.117104,14.818857,15.400764,791.45,VF,0,0,C,CCGC,NA,NA,13.006932,83,F
3,1530588,8,3222.71,Pl,Sw,NA,NA,NA,80,20,0,0,0,9.219768,496.903839,15.370177,3.29796,8.880348,9.283912,19.85792,3.423599,1,3.835223,146.499366,74.018727,6.750414,30,16,7.954051,8.015059,20.70211,3222.71,VF,0,0,D,CCGC,NA,NA,8.885011,20,F
3,1469517,1,203.9,Pl,Sw,NA,NA,NA,75,25,0,0,0,2.21,253.66,10.532348,3.65,1.92,25.1,7.24,5.84,1,6.54,22.51,18.705514,9.283351,35,24,16.22,12.88,9.58,203.9,VF,0,0,A,CCGC,NA,WTP,11.293433,25,F
3,1168535,5,1943.79,Pl,Sw,NA,NA,NA,84,16,0,0,0,15.506992,1481.238184,11.545331,19.287233,25.970946,35.874133,61.1261,7.423655,1,8.316826,37.899259,29.43763,8.316826,50,38,6.696277,8.815463,9.989078,1943.79,VF,0,0,A,CCGC,NA,NA,10.044982,40,F
3,1300922,9,3173.04,Pl,Sw,NA,NA,NA,77,23,0,0,0,20.771463,1444.484505,13.531071,54.902854,42.189281,91.659479,91.673551,8.322848,1,9.323764,43.757647,33.14007,9.162653,51,40,8.765751,10.635913,10.637336,3173.04,VF,0,0,B,CCGC,NA,NA,10.973652,41,F
4,1379023,2,725.49,Aw,Pl,Pb,NA,NA,54,32,14,0,0,58.850693,1272.978152,24.261652,313.09256,471.926731,395.914164,509.055117,17.04597,1,19.098757,149.456968,74.716144,10.928617,120,114,10.456326,13.314607,11.263843,725.49,VF,0,0,D,CCGC,NA,NA,11.207965,114,F
3,1613773,2,817.2,Pl,Sw,Aw,NA,NA,60,34,6,0,0,30.894968,821.993053,21.875846,132.852949,182.454106,188.507554,225.391193,14.91814,1,16.711141,68.618784,46.80963,11.683853,86,77,12.738123,12.499375,12.658633,817.2,VF,0,0,B,CCGC,NA,WTP,13.20677,76,M
2,1168775,4,1250.36,Pl,NA,NA,NA,NA,100,0,0,0,0,12.566423,812.809706,14.030284,2.195105,6.348988,6.014621,20.08633,2.007038,1,2.250531,174.333837,79.888357,7.184707,19,6,6.242841,8.726818,23.490793,1250.36,VF,0,0,D,CCGC,NA,NA,10.321601,9,F
