,N_bh_AwT,N_bh_PlT,N_bh_SbT,N_bh_SwT,SC_Aw,SC_Pl,SC_Sb,SC_Sw,bhage_Aw,bhage_Pl,bhage_Sb,bhage_Sw,tage_Aw,tage_Pl,tage_Sb,tage_Sw,topHeight_Aw,topHeight_Pl,topHeight_Sb,topHeight_Sw,BA_Aw,BA_Sw,BA_Sb,BA_Pl,Gross_Total_Volume_Aw,MerchantableVolumeAw,Gross_Total_Volume_Sw,MerchantableVolumeSw,Gross_Total_Volume_Sb,MerchantableVolumeSb,Gross_Total_Volume_Pl,MerchantableVolumePl,Gross_Total_Volume_Con,Gross_Total_Volume_Dec,Gross_Total_Volume_Tot,MerchantableVolume_Con,MerchantableVolume_Dec,MerchantableVolume_Tot
0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,-12.0136043455,-31.2784422109,-56.0,-26.6292274381,0.3514829555,-19.0,-56.0,-11.4549672671,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,,,
1,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,-11.0136043455,-30.2784422109,-55.0,-25.6292274381,1.3514829555,-18.0,-55.0,-10.4549672671,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,,,
2,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,-10.0136043455,-29.2784422109,-54.0,-24.6292274381,2.3514829555,-17.0,-54.0,-9.4549672671,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,,,
3,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,-9.0136043455,-28.2784422109,-53.0,-23.6292274381,3.3514829555,-16.0,-53.0,-8.4549672671,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,,,
4,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,-8.0136043455,-27.2784422109,-52.0,-22.6292274381,4.3514829555,-15.0,-52.0,-7.4549672671,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,,,
5,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,-7.0136043455,-26.2784422109,-51.0,-21.6292274381,5.3514829555,-14.0,-51.0,-6.4549672671,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,,,
6,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,-6.0136043455,-25.2784422109,-50.0,-20.6292274381,6.3514829555,-13.0,-50.0,-5.4549672671,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,,,
7,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,-5.0136043455,-24.2784422109,-49.0,-19.6292274381,7.3514829555,-12.0,-49.0,-4.4549672671,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,,,
8,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,-4.0136043455,-23.2784422109,-48.0,-18.6292274381,8.3514829555,-11.0,-48.0,-3.4549672671,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,,,
9,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,-3.0136043455,-22.2784422109,-47.0,-17.6292274381,9.3514829555,-10.0,-47.0,-2.4549672671,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,,,
