,N_bh_AwT,N_bh_PlT,N_bh_SbT,N_bh_SwT,SC_Aw,SC_Pl,SC_Sb,SC_Sw,bhage_Aw,bhage_Pl,bhage_Sb,bhage_Sw,tage_Aw,tage_Pl,tage_Sb,tage_Sw,topHeight_Aw,topHeight_Pl,topHeight_Sb,topHeight_Sw,BA_Aw,BA_Sw,BA_Sb,BA_Pl,Gross_Total_Volume_Aw,Gross_Total_Volume_Sw,Gross_Total_Volume_Sb,Gross_Total_Volume_Pl,MerchantableVolumeAw,MerchantableVolumeSw,MerchantableVolumeSb,MerchantableVolumePl
0,0.0,0.0,0.0,237.616135792,0.0,0.0,0.0,1.0,-57.0,-18.6506343303,-57.0,-14.1208620269,-57.0,-7.0,-57.0,0.1185047206,0.0,0.0,0.0,0.000350085427623,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1,0.0,0.0,0.0,237.614955033,0.0,0.0,0.0,1.0,-56.0,-17.6506343303,-56.0,-13.1208620269,-56.0,-6.0,-56.0,1.1185047206,0.0,0.0,0.0,0.00669526832617,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2,0.0,0.0,0.0,237.61323852,0.0,0.0,0.0,1.0,-55.0,-16.6506343303,-55.0,-12.1208620269,-55.0,-5.0,-55.0,2.1185047206,0.0,0.0,0.0,0.0307026164747,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
3,0.0,0.0,0.0,237.611032567,0.0,0.0,0.0,1.0,-54.0,-15.6506343303,-54.0,-11.1208620269,-54.0,-4.0,-54.0,3.1185047206,0.0,0.0,0.0,0.0745372323696,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
4,0.0,0.0,0.0,237.608367498,0.0,0.0,0.0,1.0,-53.0,-14.6506343303,-53.0,-10.1208620269,-53.0,-3.0,-53.0,4.1185047206,0.0,0.0,0.0,0.135651665803,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
5,0.0,0.0,0.0,237.605265565,0.0,0.0,0.0,1.0,-52.0,-13.6506343303,-52.0,-9.1208620269,-52.0,-2.0,-52.0,5.1185047206,0.0,0.0,0.0,0.211291854059,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
6,0.0,0.0,0.0,237.601744181,0.0,0.0,0.0,1.0,-51.0,-12.6506343303,-51.0,-8.1208620269,-51.0,-1.0,-51.0,6.1185047206,0.0,0.0,0.0,0.29918575322,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
7,0.0,1473.4495319,0.0,237.597817557,0.0,0.861138958175,0.0,0.138861041825,-50.0,-11.6506343303,-50.0,-7.1208620269,-50.0,0.0,-50.0,7.1185047206,0.0,0.0,0.0,0.3975193917,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
8,0.0,1473.34105543,0.0,237.593497636,0.0,0.861132328405,0.0,0.138867671595,-49.0,-10.6506343303,-49.0,-6.1208620269,-49.0,1.0,-49.0,8.1185047206,0.0,0.0174949980187,0.0,0.504834144,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
9,0.0,1473.12627147,0.0,237.588794681,0.0,0.861117260623,0.0,0.138882739377,-48.0,-9.6506343303,-48.0,-5.1208620269,-48.0,2.0,-48.0,9.1185047206,0.0,0.0601867101274,0.0,0.619939262136,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
10,0.0,1472.78879667,0.0,237.583717661,0.0,0.861092413687,0.0,0.138907586313,-47.0,-8.6506343303,-47.0,-4.1208620269,-47.0,3.0,-47.0,10.1185047206,0.0,0.126029383945,0.0,0.741847374406,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
11,0.0,1472.31573138,0.0,237.578274524,0.0,0.861056724157,0.0,0.138943275843,-46.0,-7.6506343303,-46.0,-3.1208620269,-46.0,4.0,-46.0,11.1185047206,0.0,0.211960256352,0.0,0.869728007237,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
12,0.0,1471.69630253,0.0,237.57247239,0.0,0.861009294807,0.0,0.138990705193,-45.0,-6.6506343303,-45.0,-2.1208620269,-45.0,5.0,-45.0,12.1185047206,0.0,0.315226593645,0.0,1.00287387108,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
13,0.0,1470.9212297,0.0,237.566317698,0.0,0.860949341972,0.0,0.139050658028,-44.0,-5.6506343303,-44.0,-1.1208620269,-44.0,6.0,-44.0,13.1185047206,0.0,0.433467900944,0.0,1.14067602755,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
14,0.0,1469.98237245,0.0,237.559816318,0.0,0.860876165824,0.0,0.139123834176,-43.0,-4.6506343303,-43.0,-0.1208620269,-43.0,7.0,-43.0,14.1185047206,0.0,0.564665403515,0.0,1.28260527675,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
15,0.0,1468.87251294,0.0,237.552973636,0.0,0.860789131723,0.0,0.139210868277,-42.0,-3.6506343303,-42.0,0.8791379731,-42.0,8.0,-42.0,15.1185047206,0.0,0.707081096965,0.0,1.42819796479,0.0,0.00113179208366,0.0,0.0,0,0.000737441375151,0,0.0,0,2.10416096625e-08,0,0.0
16,0.0,1467.58521265,0.0,237.545794624,0.0,0.860687657657,0.0,0.139312342343,-41.0,-2.6506343303,-41.0,1.8791379731,-41.0,9.0,-41.0,16.1185047206,0.0,0.859206534965,0.0,1.57704498514,0.0,0.00181143699953,0.0,0.0,0,0.00128926877484,0,0.0,0,6.69487807603e-08,0,0.0
17,0.0,1466.11471323,0.0,237.538283894,0.0,0.860571205348,0.0,0.139428794652,-40.0,-1.6506343303,-40.0,2.8791379731,-40.0,10.0,-40.0,17.1185047206,0.0,1.01972266013,0.0,1.72878312752,0.0,0.00356074147212,0.0,0.0,0,0.00273933061424,0,0.0,0,3.0738764902e-07,0,0.0
18,0.0,1464.45586533,0.0,237.530445745,0.0,0.860439273688,0.0,0.139560726312,-39.0,-0.6506343303,-39.0,3.8791379731,-39.0,11.0,-39.0,18.1185047206,0.0,1.18746862719,0.0,1.88308817994,0.0,0.00693219044108,0.0,0.0,0,0.00572984353989,0,0.0,0,1.36183095034e-06,0,0.0
19,0.0,1462.60407594,0.0,237.522284202,0.0,0.860291393763,0.0,0.139708606237,-38.0,0.3493656697,-38.0,4.8791379731,-38.0,12.0,-38.0,19.1185047206,0.0,1.36141742873,0.0,2.03966936042,0.0,0.0124666743634,0.0,0.0346512821638,0,0.011025611992,0,0.00776822351827,0,5.11659714056e-06,0,8.99663536697e-11
20,0.0,1460.5552686,0.0,237.513803041,0.0,0.860127124975,0.0,0.139872875025,-37.0,1.3493656697,-37.0,5.8791379731,-37.0,13.0,-37.0,20.1185047206,0.0,1.54065658409,0.0,2.19826477091,0.0,0.0206682121832,0.0,0.143170520173,0,0.0194906107618,0,0.0426371086342,0,1.62681083889e-05,0,3.26065531237e-08
21,0.0,1458.30585249,0.0,237.505005824,0.0,0.859946051967,0.0,0.140053948033,-36.0,2.3493656697,-36.0,6.8791379731,-36.0,14.0,-36.0,21.1185047206,0.0,1.72437260876,0.0,2.35863764776,0.0,0.0319891227764,0.0,0.33095684609,0,0.0320639262859,0,0.126407489603,0,4.48851972327e-05,0,1.15960569243e-06
22,0.0,1455.85269798,0.0,237.495895914,0.0,0.859747782134,0.0,0.140252217866,-35.0,3.3493656697,-35.0,7.8791379731,-35.0,15.0,-35.0,22.1185047206,0.0,1.91183833643,0.0,2.52057323994,0.0,0.0468220410667,0.0,0.589332149687,0,0.049736304544,0,0.279406186463,0,0.000110238581494,0,1.42781555811e-05
23,0.0,1453.19311695,0.0,237.486476501,0.0,0.859531943592,0.0,0.140468056408,-34.0,4.3493656697,-34.0,8.8791379731,-34.0,16.0,-34.0,23.1185047206,0.0,2.10240242352,0.0,2.68387618759,0.0,0.065496512928,0.0,0.9053545153,0,0.0735280803625,0,0.517993383872,0,0.000246073765682,0,9.54922641738e-05
24,0.0,1450.3248464,0.0,237.476750612,0.0,0.859298183488,0.0,0.140701816512,-33.0,5.3493656697,-33.0,9.8791379731,-33.0,17.0,-33.0,24.1185047206,0.0,2.29548054782,0.0,2.84836830337,0.0,0.0882786435242,0.0,1.26606991865,0,0.104468878142,0,0.853641291434,0,0.000507397467727,0,0.000430404030995
25,0.0,1447.24603466,0.0,237.466721131,0.0,0.859046166585,0.0,0.140953833415,-32.0,6.3493656697,-32.0,10.8791379731,-32.0,18.0,-32.0,25.1185047206,0.0,2.49054794189,0.0,3.01388668107,0.0,0.115372740893,0.0,1.66024468035,0,0.143579261455,0,1.2932389133,0,0.000978714686994,0,0.00147514571478
26,0.0,1443.95522934,0.0,237.456390809,0.0,0.858775574069,0.0,0.141224425931,-31.0,7.3493656697,-31.0,11.8791379731,-31.0,19.0,-31.0,26.1185047206,0.0,2.68713299316,0.0,3.1802820725,0.0,0.146924217023,0.0,2.07871859054,0,0.191854379927,0,1.83988861656,0,0.00178350325935,0,0.00414073249511
27,0.0,1440.45136668,0.0,237.445762275,0.0,0.858486102528,0.0,0.141513897472,-30.0,8.3493656697,-30.0,12.8791379731,-30.0,20.0,-30.0,27.1185047206,0.0,2.88481170841,0.0,3.34741748598,0.0,0.183023238608,0.0,2.51420378805,0,0.250249586612,0,2.49377573072,0,0.00309455661809,0,0.00999314081765
28,0.0,1436.73376162,0.0,237.434838048,0.0,0.858177463073,0.0,0.141822536927,-29.0,9.3493656697,-29.0,13.8791379731,-29.0,21.0,-29.0,28.1185047206,0.0,3.0832028875,0.0,3.5151669693,0.0,0.223708786761,0.0,2.96094308629,0,0.319667961856,0,3.25293874078,0,0.00514467668262,0,0.0214375511661
29,0.0,1432.80209865,0.0,237.423620542,0.0,0.857849380588,0.0,0.142150619412,-28.0,10.3493656697,-28.0,14.8791379731,-28.0,22.0,-28.0,29.1185047206,0.0,3.2819638864,0.0,3.68341454728,0.0,0.268972904946,0.0,3.4143846268,0,0.400949666616,0,4.11389177514,0,0.00823707182486,0,0.0418584028952
30,0.0,1428.65642287,0.0,237.412112078,0.0,0.857501593063,0.0,0.142498406937,-27.0,11.3493656697,-27.0,15.8791379731,-27.0,23.0,-27.0,30.1185047206,0.0,3.480786875,0.0,3.85205328976,0.0,0.3187649976,0.0,3.87091522996,0,0.494863047904,0,5.0721037315,0,0.0127547245345,0,0.0756938208341
