,BA_Aw,BA_Sw,BA_Sb,BA_Pl
0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0194416291809
12,0.0,0.0,0.0,0.0956838983261
13,0.0,0.0,0.0,0.240544879109
14,0.0,0.0,0.0,0.44977882903
15,0.0,0.0,0.0,0.713977862163
16,0.0,0.0,0.0,1.02251604215
17,0.0,0.0,0.0,1.36547865914
18,0.0,0.0,0.0,1.73436511169
19,0.0,0.0,0.0,2.12216896367
20,0.0,0.0,0.0,2.52321335631
21,0.0,0.0,0.0,2.93292583139
22,0.0,0.0,0.0,3.34762541944
23,0.0,0.0,0.0,3.76434370845
24,0.0,0.0,0.0,4.18068149162
25,0.0,0.0,0.0,4.594696083
26,0.0,0.0,0.0,4.93746903763
27,0.0,0.0,0.0,5.35158688795
28,0.0,0.0,0.0,5.76091634825
29,0.0,0.0,0.0,6.16434256404
30,0.0,0.0,0.0,6.56096570083
31,0.0,0.0,0.0,6.95006444133
32,0.0,0.0,0.0,7.33106640092
33,0.0,0.0,0.0,7.70352398725
34,0.0,0.0,0.0,8.06709456847
35,0.0,0.0,0.0,8.42152407292
36,0.0,0.0,0.0,8.76663334111
37,0.0,0.0,0.0,9.10230670073
38,0.0,0.0,0.0,9.42848234962
39,0.0,0.0,0.0,9.74514421957
40,0.0,0.0,0.0,10.0523150608
41,0.0,0.0,0.0,10.3500505394
42,0.0,0.0,0.0,10.638434179
43,0.0,0.0,0.0,10.9175730132
44,0.0,0.0,0.0,11.1875938356
45,0.0,0.0,0.0,11.4486399576
46,0.0,0.0,0.0,11.7008683986
47,0.0,0.0,0.0,11.9444474469
48,0.0,0.0,0.0,12.1795545379
49,0.0,0.0,0.0,12.4063744069
50,0.0,0.0,0.0,12.6250974792
51,0.0,0.0,0.0,12.8359184663
52,0.0,0.0,0.0,13.0390351415
53,0.0,0.0,0.0,13.2346472725
54,0.0,0.0,0.0,13.4229556912
55,0.0,0.0,0.0,13.6041614832
56,0.0,0.0,0.0,13.7784652841
57,0.0,0.0,0.0,13.9460666686
58,0.0,0.0,0.0,14.1071636215
59,0.0,0.0,0.0,14.261952082
60,0.0,0.0,0.0,14.410625552
61,0.0,0.0,0.0,14.5533747611
62,0.0,0.0,0.0,14.6903873821
63,0.0,0.0,0.0,14.821847792
64,0.0,0.0,0.0,14.9479368712
65,0.0,0.0,0.0,15.0688318396
66,0.0,0.0,0.0,15.1847061227
