plot_id,year,N_bh_AwT,N_bh_PlT,N_bh_SbT,N_bh_SwT,SC_Aw,SC_Pl,SC_Sb,SC_Sw,bhage_Aw,bhage_Pl,bhage_Sb,bhage_Sw,tage_Aw,tage_Pl,tage_Sb,tage_Sw,topHeight_Aw,topHeight_Pl,topHeight_Sb,topHeight_Sw,BA_Aw,BA_Sw,BA_Sb,BA_Pl,Gross_Total_Volume_Aw,Merchantable_Volume_Aw,Gross_Total_Volume_Sw,Merchantable_Volume_Sw,Gross_Total_Volume_Sb,Merchantable_Volume_Sb,Gross_Total_Volume_Pl,Merchantable_Volume_Pl,Gross_Total_Volume_Con,Gross_Total_Volume_Dec,Gross_Total_Volume_Tot,Merchantable_Volume_Con,Merchantable_Volume_Dec,Merchantable_Volume_Tot
1594749,1,0,0,0,265.80607824,0.0,0.0,0.0,1.0,-222.0,-222.0,-222.0,-11.1514166299,-222.0,-222.0,-222.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,,
1594749,2,0,0,0,265.803323844,0.0,0.0,0.0,1.0,-221.0,-221.0,-221.0,-10.1514166299,-221.0,-221.0,-221.0,1.0,0,0,0,0.00777354775414,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,,
1594749,3,0,0,0,265.799232281,0.0,0.0,0.0,1.0,-220.0,-220.0,-220.0,-9.1514166299,-220.0,-220.0,-220.0,2.0,0,0,0,0.040215778902,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,,
1594749,4,0,0,0,265.793926812,0.0,0.0,0.0,1.0,-219.0,-219.0,-219.0,-8.1514166299,-219.0,-219.0,-219.0,3.0,0,0,0,0.102611170577,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,,
1594749,5,0,0,0,265.787486485,0.0,0.0,0.0,1.0,-218.0,-218.0,-218.0,-7.1514166299,-218.0,-218.0,-218.0,4.0,0,0,0,0.191346287748,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,,
1594749,6,0,0,0,265.779968701,0.0,0.0,0.0,1.0,-217.0,-217.0,-217.0,-6.1514166299,-217.0,-217.0,-217.0,5.0,0,0,0,0.302139364686,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,,
1594749,7,0,0,0,265.771418102,0.0,0.0,0.0,1.0,-216.0,-216.0,-216.0,-5.1514166299,-216.0,-216.0,-216.0,6.0,0,0,0,0.431402999979,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,,
1594749,8,0,0,0,265.761870968,0.0,0.0,0.0,1.0,-215.0,-215.0,-215.0,-4.1514166299,-215.0,-215.0,-215.0,7.0,0,0,0,0.576257673637,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,,
1594749,9,0,0,0,265.75135771,0.0,0.0,0.0,1.0,-214.0,-214.0,-214.0,-3.1514166299,-214.0,-214.0,-214.0,8.0,0,0,0,0.734381137353,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,,
1594749,10,0,0,0,265.739904407,0.0,0.0,0.0,1.0,-213.0,-213.0,-213.0,-2.1514166299,-213.0,-213.0,-213.0,9.0,0,0,0,0.903873804358,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,,
1594749,11,0,0,0,265.727533827,0.0,0.0,0.0,1.0,-212.0,-212.0,-212.0,-1.1514166299,-212.0,-212.0,-212.0,10.0,0,0,0,1.08315832014,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,,
1594749,12,0,0,0,265.714266124,0.0,0.0,0.0,1.0,-211.0,-211.0,-211.0,-0.1514166299,-211.0,-211.0,-211.0,11.0,0,0,0,1.27090688108,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,,
1594749,13,0,0,0,265.70011935,0.0,0.0,0.0,1.0,-210.0,-210.0,-210.0,0.8485833701,-210.0,-210.0,-210.0,12.0,0,0,0,1.46598838388,0.0,0.00128207868716,0.0,0.0,0.0,,0.000855017001534,2.58481153741e-08,0.0,,0.0,,0.000855017001534,0.0,0.000855017001534,,,
1594749,14,0,0,0,265.685109828,0.0,0.0,0.0,1.0,-209.0,-209.0,-209.0,1.8485833701,-209.0,-209.0,-209.0,13.0,0,0,0,1.66742941475,0.0,0.00279701514883,0.0,0.0,0.0,,0.00208608002091,1.59800388926e-07,0.0,,0.0,,0.00208608002091,0.0,0.00208608002091,,,
1594749,15,0,0,0,265.669252437,0.0,0.0,0.0,1.0,-208.0,-208.0,-208.0,2.8485833701,-208.0,-208.0,-208.0,14.0,0,0,0,1.87438494253,0.0,0.00675967619107,0.0,0.0,0.0,,0.00556454165153,1.15961683848e-06,0.0,,0.0,,0.00556454165153,0.0,0.00556454165153,,,
1594749,16,0,0,0,265.652560837,0.0,0.0,0.0,1.0,-207.0,-207.0,-207.0,3.8485833701,-207.0,-207.0,-207.0,15.0,0,0,0,2.08611591135,0.0,0.014475697384,0.0,0.0,0.0,,0.0130524236264,6.52008683803e-06,0.0,,0.0,,0.0130524236264,0.0,0.0130524236264,,,
1594749,17,0,0,0,265.635047642,0.0,0.0,0.0,1.0,-206.0,-206.0,-206.0,4.8485833701,-206.0,-206.0,-206.0,16.0,0,0,0,2.30197182226,0.0,0.0272445426447,0.0,0.0,0.0,,0.0267433654038,2.80765920822e-05,0.0,,0.0,,0.0267433654038,0.0,0.0267433654038,,,
1594749,18,0,0,0,265.616724564,0.0,0.0,0.0,1.0,-205.0,-205.0,-205.0,5.8485833701,-205.0,-205.0,-205.0,17.0,0,0,0,2.52137698427,0.0,0.046301486297,0.0,0.0,0.0,,0.0492078712762,9.77236291005e-05,0.0,,0.0,,0.0492078712762,0.0,0.0492078712762,,,
1594749,19,0,0,0,265.597602527,0.0,0.0,0.0,1.0,-204.0,-204.0,-204.0,6.8485833701,-204.0,-204.0,-204.0,18.0,0,0,0,2.74381950953,0.0,0.0727833830192,0.0,0.0,0.0,,0.0833314320365,0.000288349685467,0.0,,0.0,,0.0833314320365,0.0,0.0833314320365,,,
1594749,20,0,0,0,265.577691763,0.0,0.0,0.0,1.0,-203.0,-203.0,-203.0,7.8485833701,-203.0,-203.0,-203.0,19.0,0,0,0,2.96884239255,0.0,0.107709709925,0.0,0.0,0.0,,0.132250413195,0.000747074816232,0.0,,0.0,,0.132250413195,0.0,0.132250413195,,,
1594749,21,0,0,0,265.557001891,0.0,0.0,0.0,1.0,-202.0,-202.0,-202.0,8.8485833701,-202.0,-202.0,-202.0,20.0,0,0,0,3.1960361951,0.0,0.151973381137,0.0,0.0,0.0,,0.199288357186,0.0017432941507,0.0,,0.0,,0.199288357186,0.0,0.199288357186,,,
1594749,22,0,0,0,265.535541988,0.0,0.0,0.0,1.0,-201.0,-201.0,-201.0,9.8485833701,-201.0,-201.0,-201.0,21.0,0,0,0,3.42503298482,0.0,0.206337605144,0.0,0.0,0.0,,0.287894063292,0.00373277845676,0.0,,0.0,,0.287894063292,0.0,0.287894063292,,,
1594749,23,0,0,0,265.513320639,0.0,0.0,0.0,1.0,-200.0,-200.0,-200.0,10.8485833701,-200.0,-200.0,-200.0,22.0,0,0,0,3.65550126482,0.0,0.271436291571,0.0,0.0,0.0,,0.401582055958,0.00743713337328,0.0,,0.0,,0.401582055958,0.0,0.401582055958,,,
1594749,24,0,0,0,265.490345992,0.0,0.0,0.0,1.0,-199.0,-199.0,-199.0,11.8485833701,-199.0,-199.0,-199.0,23.0,0,0,0,3.88714169533,0.0,0.347776447474,0.0,0.0,0.0,,0.543875718443,0.0139353478135,0.0,,0.0,,0.543875718443,0.0,0.543875718443,,,
1594749,25,0,0,0,265.466625798,0.0,0.0,0.0,1.0,-198.0,-198.0,-198.0,12.8485833701,-198.0,-198.0,-198.0,24.0,0,0,0,4.11968345524,0.0,0.435741698929,0.0,0.0,0.0,,0.718253338709,0.0247611990069,0.0,,0.0,,0.718253338709,0.0,0.718253338709,,,
1594749,26,0,0,0,265.442167447,0.0,0.0,0.0,1.0,-197.0,-197.0,-197.0,13.8485833701,-197.0,-197.0,-197.0,25.0,0,0,0,4.35288112546,0.0,0.535596550471,0.0,0.0,0.0,,0.928097441684,0.0419973400394,0.0,,0.0,,0.928097441684,0.0,0.928097441684,,,
1594749,27,0,0,0,265.416977999,0.0,0.0,0.0,1.0,-196.0,-196.0,-196.0,14.8485833701,-196.0,-196.0,-196.0,26.0,0,0,0,4.5865120016,0.0,0.647491275121,0.0,0.0,0.0,,1.17664793093,0.0683545526951,0.0,,0.0,,1.17664793093,0.0,1.17664793093,,,
1594749,28,0,0,0,265.391064216,0.0,0.0,0.0,1.0,-195.0,-195.0,-195.0,15.8485833701,-195.0,-195.0,-195.0,27.0,0,0,0,4.8203737629,0.0,0.771467451119,0.0,0.0,0.0,,1.46695964398,0.107223555281,0.0,,0.0,,1.46695964398,0.0,1.46695964398,,,
1594749,29,0,0,0,265.364432583,0.0,0.0,0.0,1.0,-194.0,-194.0,-194.0,16.8485833701,-194.0,-194.0,-194.0,28.0,0,0,0,5.05428243897,0.0,0.907464178778,0.0,0.0,0.0,,1.80186490474,0.162687481646,0.0,,0.0,,1.80186490474,0.0,1.80186490474,,,
1594749,30,0,0,0,265.337089332,0.0,0.0,0.0,1.0,-193.0,-193.0,-193.0,17.8485833701,-193.0,-193.0,-193.0,29.0,0,0,0,5.28807062724,0.0,1.05532497167,0.0,0.0,0.0,,2.1839415436,0.239485992703,0.0,,0.0,,2.1839415436,0.0,2.1839415436,,,
1594749,31,0,0,0,265.30904046,0.0,0.0,0.0,1.0,-192.0,-192.0,-192.0,18.8485833701,-192.0,-192.0,-192.0,30.0,0,0,0,5.52158592294,0.0,1.21480525926,0.0,0.0,0.0,,2.61548668364,0.342926811837,0.0,,0.0,,2.61548668364,0.0,2.61548668364,,,
1594749,32,0,0,0,265.280291748,0.0,0.0,0.0,1.0,-191.0,-191.0,-191.0,19.8485833701,-191.0,-191.0,-191.0,31.0,0,0,0,5.75468953026,0.0,1.38558038715,0.0,0.0,0.0,,3.09849639685,0.478746660555,0.0,,0.0,,3.09849639685,0.0,3.09849639685,,,
1594749,33,0,0,0,265.250848776,0.0,0.0,0.0,1.0,-190.0,-190.0,-190.0,20.8485833701,-190.0,-190.0,-190.0,32.0,0,0,0,5.98725502902,0.0,1.56725396753,0.0,0.0,0.0,,3.63465114829,0.652930068236,0.0,,0.0,,3.63465114829,0.0,3.63465114829,,,
1594749,34,0,0,0,265.220716937,0.0,0.0,0.0,1.0,-189.0,-189.0,-189.0,21.8485833701,-189.0,-189.0,-189.0,33.0,0,0,0,6.21916727525,0.0,1.75936641776,0.0,0.0,0.0,,4.2253067864,0.871500116702,0.0,,0.0,,4.2253067864,0.0,4.2253067864,,,
1594749,35,0,0,0,265.189901449,0.0,0.0,0.0,1.0,-188.0,-188.0,-188.0,22.8485833701,-188.0,-188.0,-188.0,34.0,0,0,0,6.45032141799,0.0,1.96140352714,0.0,0.0,0.0,,4.8714907138,1.14029876972,0.0,,0.0,,4.8714907138,0.0,4.8714907138,,,
1594749,36,0,0,0,265.158407369,0.0,0.0,0.0,1.0,-187.0,-187.0,-187.0,23.8485833701,-187.0,-187.0,-187.0,35.0,0,0,0,6.68062201722,0.0,2.17280490499,0.0,0.0,0.0,,5.57390278572,1.46477537313,0.0,,0.0,,5.57390278572,0.0,5.57390278572,,,
1594749,37,0,0,0,265.126239602,0.0,0.0,0.0,1.0,-186.0,-186.0,-186.0,24.8485833701,-186.0,-186.0,-186.0,36.0,0,0,0,6.90998225015,0.0,2.39297218351,0.0,0.0,0.0,,6.33292042894,1.8498001342,0.0,,0.0,,6.33292042894,0.0,6.33292042894,,,
1594749,38,0,0,0,265.093402908,0.0,0.0,0.0,1.0,-185.0,-185.0,-185.0,25.8485833701,-185.0,-185.0,-185.0,37.0,0,0,0,7.13832319521,0.0,2.62127687175,0.0,0.0,0.0,,7.1486074481,2.29951541966,0.0,,0.0,,7.1486074481,0.0,7.1486074481,,,
1594749,39,0,0,0,265.059901916,0.0,0.0,0.0,1.0,-184.0,-184.0,-184.0,26.8485833701,-184.0,-184.0,-184.0,38.0,0,0,0,7.36557318447,0.0,2.85706778065,0.0,0.0,0.0,,8.02072598161,2.81723246718,0.0,,0.0,,8.02072598161,0.0,8.02072598161,,,
