,N_bh_AwT,N_bh_PlT,N_bh_SbT,N_bh_SwT,SC_Aw,SC_Pl,SC_Sb,SC_Sw,bhage_Aw,bhage_Pl,bhage_Sb,bhage_Sw,tage_Aw,tage_Pl,tage_Sb,tage_Sw,topHeight_Aw,topHeight_Pl,topHeight_Sb,topHeight_Sw,BA_Aw,BA_Sw,BA_Sb,BA_Pl,Gross_Total_Volume_Aw,Gross_Total_Volume_Sw,Gross_Total_Volume_Sb,Gross_Total_Volume_Pl,MerchantableVolumeAw,MerchantableVolumeSw,MerchantableVolumeSb,MerchantableVolumePl
0,0.0,0.0,0.0,123.166293331,0.0,0.0,0.0,1.0,-12.680984364,-23.09984822,-45.0,-14.36791558,-4.0,-12.84422653,-45.0,0.07509483,0.0,0.0,0.0,0.000290786154392,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0
1,0.0,0.0,0.0,123.165796831,0.0,0.0,0.0,1.0,-11.680984364,-22.09984822,-44.0,-13.36791558,-3.0,-11.84422653,-44.0,1.07509483,0.0,0.0,0.0,0.00596939378187,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0
2,0.0,0.0,0.0,123.165058859,0.0,0.0,0.0,1.0,-10.680984364,-21.09984822,-43.0,-12.36791558,-2.0,-10.84422653,-43.0,2.07509483,0.0,0.0,0.0,0.0285694970065,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0
3,0.0,0.0,0.0,123.164098048,0.0,0.0,0.0,1.0,-9.680984364,-20.09984822,-42.0,-11.36791558,-1.0,-9.84422653,-42.0,3.07509483,0.0,0.0,0.0,0.0706088267642,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0
4,0.0,0.0,0.0,123.162926642,0.0,0.0,0.0,1.0,-8.680984364,-19.09984822,-41.0,-10.36791558,0.0,-8.84422653,-41.0,4.07509483,0.0,0.0,0.0,0.129660970733,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0
5,0.0,0.0,0.0,123.161553658,0.0,0.0,0.0,1.0,-7.680984364,-18.09984822,-40.0,-9.36791558,1.0,-7.84422653,-40.0,5.07509483,0.0,0.0,0.0,0.203021497488,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0
6,0.0,0.0,0.0,123.159986181,0.0,0.0,0.0,1.0,-6.680984364,-17.09984822,-39.0,-8.36791558,2.0,-6.84422653,-39.0,6.07509483,0.0,0.0,0.0,0.28845129643,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0
7,0.0,0.0,0.0,123.15823001,0.0,0.0,0.0,1.0,-5.680984364,-16.09984822,-38.0,-7.36791558,3.0,-5.84422653,-38.0,7.07509483,0.0,0.0,0.0,0.384162790779,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0
8,0.0,0.0,0.0,123.156290035,0.0,0.0,0.0,1.0,-4.680984364,-15.09984822,-37.0,-6.36791558,4.0,-4.84422653,-37.0,8.07509483,0.0,0.0,0.0,0.488719708917,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0
9,0.0,0.0,0.0,123.15417047,0.0,0.0,0.0,1.0,-3.680984364,-14.09984822,-36.0,-5.36791558,5.0,-3.84422653,-36.0,9.07509483,0.0,0.0,0.0,0.600950591649,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0
10,0.0,0.0,0.0,123.151875005,0.0,0.0,0.0,1.0,-2.680984364,-13.09984822,-35.0,-4.36791558,6.0,-2.84422653,-35.0,10.07509483,0.0,0.0,0.0,0.719884863566,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0
11,0.0,0.0,0.0,123.14940692,0.0,0.0,0.0,1.0,-1.680984364,-12.09984822,-34.0,-3.36791558,7.0,-1.84422653,-34.0,11.07509483,0.0,0.0,0.0,0.844706768799,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0
12,0.0,0.0,0.0,123.146769159,0.0,0.0,0.0,1.0,-0.680984364,-11.09984822,-33.0,-2.36791558,8.0,-0.84422653,-33.0,12.07509483,0.0,0.0,0.0,0.974721980569,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0
