,N_bh_AwT,N_bh_PlT,N_bh_SbT,N_bh_SwT,SC_Aw,SC_Pl,SC_Sb,SC_Sw,bhage_Aw,bhage_Pl,bhage_Sb,bhage_Sw,tage_Aw,tage_Pl,tage_Sb,tage_Sw,topHeight_Aw,topHeight_Pl,topHeight_Sb,topHeight_Sw,BA_Aw,BA_Sw,BA_Sb,BA_Pl
0,0.0,1097.01936231,0.0,0.0,0.0,1.0,0.0,0.0,-22.0,-14.2175952196,-22.0,-22.0,-22.0,0.0,-22.0,-22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,1096.99726174,0.0,0.0,0.0,1.0,0.0,0.0,-21.0,-13.2175952196,-21.0,-21.0,-21.0,1.0,-21.0,-21.0,0.0,0.0126928044233,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,1096.95004274,0.0,0.0,0.0,1.0,0.0,0.0,-20.0,-12.2175952196,-20.0,-20.0,-20.0,2.0,-20.0,-20.0,0.0,0.0436821544636,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,1096.87192526,0.0,0.0,0.0,1.0,0.0,0.0,-19.0,-11.2175952196,-19.0,-19.0,-19.0,3.0,-19.0,-19.0,0.0,0.0915212115436,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,1096.7580664,0.0,0.0,0.0,1.0,0.0,0.0,-18.0,-10.2175952196,-18.0,-18.0,-18.0,4.0,-18.0,-18.0,0.0,0.154037443501,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,1096.60421641,0.0,0.0,0.0,1.0,0.0,0.0,-17.0,-9.2175952196,-17.0,-17.0,-17.0,5.0,-17.0,-17.0,0.0,0.229288299257,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,1096.40654924,0.0,0.0,0.0,1.0,0.0,0.0,-16.0,-8.2175952196,-16.0,-16.0,-16.0,6.0,-16.0,-16.0,0.0,0.315616525593,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,1096.16156436,0.0,0.0,0.0,1.0,0.0,0.0,-15.0,-7.2175952196,-15.0,-15.0,-15.0,7.0,-15.0,-15.0,0.0,0.411610906933,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,1095.86602409,0.0,0.0,0.0,1.0,0.0,0.0,-14.0,-6.2175952196,-14.0,-14.0,-14.0,8.0,-14.0,-14.0,0.0,0.51606048264,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,1095.51691103,0.0,0.0,0.0,1.0,0.0,0.0,-13.0,-5.2175952196,-13.0,-13.0,-13.0,9.0,-13.0,-13.0,0.0,0.627916484347,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,1095.11139777,0.0,0.0,0.0,1.0,0.0,0.0,-12.0,-4.2175952196,-12.0,-12.0,-12.0,10.0,-12.0,-12.0,0.0,0.746262709611,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,1094.6468247,0.0,0.0,0.0,1.0,0.0,0.0,-11.0,-3.2175952196,-11.0,-11.0,-11.0,11.0,-11.0,-11.0,0.0,0.8702927013,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,1094.12068322,0.0,0.0,0.0,1.0,0.0,0.0,-10.0,-2.2175952196,-10.0,-10.0,-10.0,12.0,-10.0,-10.0,0.0,0.999292052053,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,1093.53060294,0.0,0.0,0.0,1.0,0.0,0.0,-9.0,-1.2175952196,-9.0,-9.0,-9.0,13.0,-9.0,-9.0,0.0,1.13262451049,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0,1092.87434168,0.0,0.0,0.0,1.0,0.0,0.0,-8.0,-0.2175952196,-8.0,-8.0,-8.0,14.0,-8.0,-8.0,0.0,1.26972091609,0.0,0.0,0.0,0.0,0.0,0.0
15,0.0,1092.1497776,0.0,0.0,0.0,1.0,0.0,0.0,-7.0,0.7824047804,-7.0,-7.0,-7.0,15.0,-7.0,-7.0,0.0,1.41007025999,0.0,0.0,0.0,0.0,0.0,1.03359561922
16,0.0,1091.35490296,0.0,0.0,0.0,1.0,0.0,0.0,-6.0,1.7824047804,-6.0,-6.0,-6.0,16.0,-6.0,-6.0,0.0,1.55321236374,0.0,0.0,0.0,0.0,0.0,2.92417176488
17,0.0,1090.48781914,0.0,0.0,0.0,1.0,0.0,0.0,-5.0,2.7824047804,-5.0,-5.0,-5.0,17.0,-5.0,-5.0,0.0,1.69873180638,0.0,0.0,0.0,0.0,0.0,5.27618774799
18,0.0,1089.54673261,0.0,0.0,0.0,1.0,0.0,0.0,-4.0,3.7824047804,-4.0,-4.0,-4.0,18.0,-4.0,-4.0,0.0,1.84625282781,0.0,0.0,0.0,0.0,0.0,7.88905655411
19,0.0,1088.52995178,0.0,0.0,0.0,1.0,0.0,0.0,-3.0,4.7824047804,-3.0,-3.0,-3.0,19.0,-3.0,-3.0,0.0,1.99543500548,0.0,0.0,0.0,0.0,0.0,10.6599879393
20,0.0,1087.4358843,0.0,0.0,0.0,1.0,0.0,0.0,-2.0,5.7824047804,-2.0,-2.0,-2.0,20.0,-2.0,-2.0,0.0,2.14596955194,0.0,0.0,0.0,0.0,0.0,13.5269606223
21,0.0,1086.26303505,0.0,0.0,0.0,1.0,0.0,0.0,-1.0,6.7824047804,-1.0,-1.0,-1.0,21.0,-1.0,-1.0,0.0,2.29757611619,0.0,0.0,0.0,0.0,0.0,16.4484713435
22,0.0,1085.01000436,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.7824047804,0.0,0.0,0.0,22.0,0.0,0.0,0.0,2.44999999898,0.0,0.0,0.0,0.0,0.0,16.5162566378
23,0.0,1083.67548668,0.0,0.0,0.0,1.0,0.0,0.0,1.0,8.7824047804,1.0,1.0,1.0,23.0,1.0,1.0,0.0,2.60300971149,0.0,0.0,0.0,0.0,0.0,16.6669945623
24,0.0,1082.25826938,0.0,0.0,0.0,1.0,0.0,0.0,2.0,9.7824047804,2.0,2.0,2.0,24.0,2.0,2.0,0.0,2.75639482178,0.0,0.0,0.0,0.0,0.0,16.8304805125
25,0.0,1080.75723189,0.0,0.0,0.0,1.0,0.0,0.0,3.0,10.7824047804,3.0,3.0,3.0,25.0,3.0,3.0,0.0,2.90996404463,0.0,0.0,0.0,0.0,0.0,17.0050268671
26,0.0,1079.17134486,0.0,0.0,0.0,1.0,0.0,0.0,4.0,11.7824047804,4.0,4.0,4.0,26.0,4.0,4.0,0.0,3.0635435389,0.0,0.0,0.0,0.0,0.0,17.1890199691
27,0.0,1077.49966953,0.0,0.0,0.0,1.0,0.0,0.0,5.0,12.7824047804,5.0,5.0,5.0,27.0,5.0,5.0,0.0,3.21697538334,0.0,0.0,0.0,0.0,0.0,17.3809375443
28,0.0,1075.74135711,0.0,0.0,0.0,1.0,0.0,0.0,6.0,13.7824047804,6.0,6.0,6.0,28.0,6.0,6.0,0.0,3.37011620669,0.0,0.0,0.0,0.0,0.0,17.5793586451
29,0.0,1073.89564833,0.0,0.0,0.0,1.0,0.0,0.0,7.0,14.7824047804,7.0,7.0,7.0,29.0,7.0,7.0,0.0,3.52283595249,0.0,0.0,0.0,0.0,0.0,17.7829683661
