,BA_Aw,BA_Pl,BA_Sb,BA_Sw,BAinc_Aw,BAinc_Pl,BAinc_Sb,BAinc_Sw,N0_Aw,N0_Pl,N0_Sb,N0_Sw,N_Aw,N_Pl,N_Sb,N_Sw,PlotID,SDF_Aw,SDF_Pl,SDF_Sb,SDF_Sw,SI_Aw,SI_Pl,SI_Sb,SI_Sw,StumpDOB_Aw,StumpDOB_Pl,StumpDOB_Sb,StumpDOB_Sw,StumpHeight_Aw,StumpHeight_Pl,StumpHeight_Sb,StumpHeight_Sw,TopDib_Aw,TopDib_Pl,TopDib_Sb,TopDib_Sw,tage_Aw,tage_Pl,tage_Sb,tage_Sw,topHeight_Aw,topHeight_Pl,topHeight_Sb,topHeight_Sw,y2bh_Aw,y2bh_Pl,y2bh_Sb,y2bh_Sw
200510,0.78688416,12.32785184,0.0,0.0,0.0256839451402,0.0776973092711,0.0,0.0,108.127584461,1723.47672101,0.0,0.0,108.12689604,1693.98803796,0.0,0.0,200510.0,107.849834818,1461.09209845,0.0,0.0,3.59959939922,6.45728762646,6.89266408093,5.02045364669,13.0,13.0,13.0,13.0,0.3,0.3,0.3,0.3,7.0,7.0,7.0,7.0,22.6944097558,17.0,0.0,0.0,1.68576049982,1.68572899906,0.0,0.0,17.6713236165,14.2904134528,0.0,0.0
200863,1.8271,14.7829,0.0,0.0,0.00273579422848,0.181257093581,0.0,0.0,160.073107104,1322.41289639,0.0,0.0,159.9587,1294.2113,0.0,0.0,200863.0,158.963553519,1181.27618923,0.0,0.0,3.51285733335,6.38377740114,6.84561753673,4.93518178533,13.0,13.0,13.0,13.0,0.3,0.3,0.3,0.3,7.0,7.0,7.0,7.0,37.59265853,24.0,0.0,0.0,2.69994120516,2.69999999934,0.0,0.0,18.0997856177,14.4221025145,0.0,0.0
359668,0.0,16.38,0.0,0.0,0.0,0.151370505252,0.0,0.0,0.0,1097.01936231,0.0,0.0,0.0,1085.01,0.0,0.0,359668.0,0.0,1014.52388405,0.0,0.0,3.6483172752,6.49857396203,6.9190873357,5.06834579596,13.0,13.0,13.0,13.0,0.3,0.3,0.3,0.3,7.0,7.0,7.0,7.0,0.0,22.0,0.0,0.0,0.0,2.44999999898,0.0,0.0,0.0,14.2175952196,0.0,0.0
508159,28.875,14.4375,0.0,14.4375,-0.0790470252766,0.0118387854395,0.0,0.0306856622459,42143.438051,5688.57165924,0.0,534.689072317,730.325,365.1625,0.0,365.1625,508159.0,3034.81482071,1492.82535146,0.0,445.304592153,14.3969700354,15.6374245301,12.7679516993,16.2200307464,13.0,13.0,13.0,13.0,0.3,0.3,0.3,0.3,7.0,7.0,7.0,7.0,120.0,105.844642952,0.0,81.153337544,23.1199999892,23.1199089261,0.0,23.1199077334,4.13037564489,6.90267854301,0.0,7.55859813741
587494,6.2256586,0.0,0.0,2.6681394,-0.0735412550367,0.0,0.0,0.0439291191851,115.284451998,0.0,0.0,44.1809801175,102.9967351,0.0,0.0,44.1414579,587494.0,113.864934984,0.0,0.0,44.1669719161,11.4470043799,13.1299537229,11.1631703827,12.3555757377,13.0,13.0,13.0,13.0,0.3,0.3,0.3,0.3,7.0,7.0,7.0,7.0,120.0,0.0,0.0,87.335497684,19.7495899937,0.0,0.0,19.74955087,5.43365626333,0.0,0.0,9.45873471007
587653,3.51063684,3.2334813,0.0,2.49439986,0.0474434657669,0.0491323511085,0.0,0.0026752270703,252.706520419,232.730782579,0.0,179.641680419,252.67807628,232.7298071,0.0,179.53442262,587653.0,241.954286605,232.305596233,0.0,178.948889339,7.73583249794,9.97545762325,9.14429287888,7.49394057231,13.0,13.0,13.0,13.0,0.3,0.3,0.3,0.3,7.0,7.0,7.0,7.0,11.0,12.3088704232,0.0,16.9459470805,1.7882379995,1.78814415975,0.0,1.78829119175,8.27875384482,10.0413024321,0.0,13.7998690521
587675,3.42836376,2.50177896,0.0,3.33570528,0.0330100113996,0.0794513910243,0.0,0.0138432834203,206.92226762,150.964212804,0.0,201.481855725,206.87679316,150.96414636,0.0,201.28552848,587675.0,201.405848088,150.915932617,0.0,200.550765659,7.63332209469,9.88832378049,9.08852721951,7.35965194404,13.0,13.0,13.0,13.0,0.3,0.3,0.3,0.3,7.0,7.0,7.0,7.0,14.0,14.6016662264,0.0,20.2683532381,2.2858609996,2.28591902266,0.0,2.28577343156,8.39262896289,10.1144456665,0.0,13.982066374
612945,0.0,0.0,0.0,0.766758,0.0,0.0,0.0,0.0394457685461,0.0,0.0,0.0,8.87755191687,0.0,0.0,0.0,8.87755,612945.0,0.0,0.0,0.0,8.87755,7.48666496072,8.32727877134,8.08945841366,7.20613810621,13.0,13.0,13.0,13.0,0.3,0.3,0.3,0.3,7.0,7.0,7.0,7.0,0.0,0.0,0.0,77.0,0.0,0.0,0.0,11.3205500022,0.0,0.0,0.0,14.1981926447
613015,0.0,0.0,0.0,27.94,0.0,0.0,0.0,0.00785215833672,0.0,0.0,0.0,522.775956567,0.0,0.0,0.0,483.28,613015.0,0.0,0.0,0.0,516.350414766,8.84016746261,9.85887370769,9.06967917292,8.9870624508,13.0,13.0,13.0,13.0,0.3,0.3,0.3,0.3,7.0,7.0,7.0,7.0,0.0,0.0,0.0,148.0,0.0,0.0,0.0,22.3900000168,0.0,0.0,0.0,12.0725933017
613223,0.0,0.0,0.0,17.01,0.0,0.0,0.0,0.226742248013,0.0,0.0,0.0,494.530555577,0.0,0.0,0.0,484.98,613223.0,0.0,0.0,0.0,489.144406891,8.71833823372,9.7210143171,8.98144916295,8.82676083384,13.0,13.0,13.0,13.0,0.3,0.3,0.3,0.3,7.0,7.0,7.0,7.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,12.4100000023,0.0,0.0,0.0,12.2352493425
