         4167146 function calls (4034230 primitive calls) in 36.370 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   492069    7.050    0.000    7.050    0.000 GYPSYNonSpatial.py:428(BasalAreaIncrementNonSpatialAw)
     7191    2.481    0.000    9.716    0.001 GYPSYNonSpatial.py:956(BAfromZeroToDataAw)
    90290    2.419    0.000    8.879    0.000 base.py:2116(get_value)
    90280    1.686    0.000   17.526    0.000 indexing.py:1654(__getitem__)
   369310    1.517    0.000    2.398    0.000 {isinstance}
    95206    1.380    0.000    2.310    0.000 indexing.py:1693(_convert_key)
288646/155900    1.329    0.000    2.158    0.000 {len}
   372680    1.309    0.000    1.312    0.000 {getattr}
    90290    1.211    0.000    4.300    0.000 base.py:1101(_convert_scalar_indexer)
    90280    0.932    0.000   11.793    0.000 series.py:904(get_value)
    95356    0.904    0.000    1.508    0.000 internals.py:4151(internal_values)
   132492    0.800    0.000    1.188    0.000 base.py:461(__len__)
    10000    0.675    0.000   15.039    0.002 forward_simulation.py:377(<lambda>)
    31044    0.643    0.000    0.643    0.000 GYPSYNonSpatial.py:585(BasalAreaIncrementNonSpatialSw)
   181220    0.640    0.000    0.646    0.000 {pandas.lib.values_from_object}
    95356    0.594    0.000    2.102    0.000 series.py:384(_values)
    95206    0.592    0.000    0.882    0.000 generic.py:1348(_indexer)
    95766    0.592    0.000    0.881    0.000 generic.py:7(_check)
    90280    0.562    0.000    1.447    0.000 indexing.py:1906(is_list_like_indexer)
    90468    0.544    0.000    0.888    0.000 inference.py:53(is_list_like)
    90290    0.487    0.000    0.488    0.000 {method 'get_value' of 'pandas.index.IndexEngine' objects}
       80    0.460    0.006   22.134    0.277 {pandas.lib.reduce}
   115896    0.381    0.000    0.381    0.000 internals.py:4054(_block)
    97834    0.370    0.000    0.372    0.000 {hasattr}
    16426    0.369    0.000    0.369    0.000 GYPSYNonSpatial.py:683(BasalAreaIncrementNonSpatialPl)
    90280    0.340    0.000    0.340    0.000 series.py:551(axes)
    20460    0.328    0.000    1.662    0.000 series.py:284(_set_axis)
    90280    0.322    0.000    0.328    0.000 base.py:1079(is_integer)
    95356    0.291    0.000    0.291    0.000 internals.py:149(internal_values)
    20000    0.275    0.000    1.058    0.000 internals.py:2773(set_axis)
    90480    0.263    0.000    0.263    0.000 {pandas.lib.is_integer}
    90652    0.263    0.000    0.263    0.000 {pandas.lib.is_float}
    40930    0.254    0.000    0.405    0.000 base.py:3602(_ensure_index)
    10000    0.246    0.000    4.545    0.000 forward_simulation.py:353(<lambda>)
     4926    0.189    0.000    0.767    0.000 indexing.py:1666(__setitem__)
        2    0.171    0.086    9.942    4.971 GYPSYNonSpatial.py:898(BAfactorFinder_Aw)
    20460    0.159    0.000    0.349    0.000 series.py:324(name)
      444    0.148    0.000    0.747    0.002 GYPSYNonSpatial.py:1196(BAfromZeroToDataSw)
    20240    0.130    0.000    0.190    0.000 inference.py:66(is_hashable)
       10    0.106    0.011    0.321    0.032 GYPSYNonSpatial.py:785(densities_and_SCs_to_250)
        1    0.093    0.093   36.356   36.356 forward_simulation.py:116(simulate_forwards_df)
    20460    0.087    0.000    0.087    0.000 series.py:310(_set_subtyp)
    10000    0.084    0.000    0.194    0.000 GYPSYNonSpatial.py:1623(merchantable_volume)
     5334    0.082    0.000    0.082    0.000 asaCompileAgeGivenSpSiHt.py:169(ComputeGypsyTreeHeightGivenSiteIndexAndTotalAge)
      207    0.079    0.000    0.412    0.002 GYPSYNonSpatial.py:1326(BAfromZeroToDataPl)
    10000    0.078    0.000    0.167    0.000 GYPSYNonSpatial.py:1461(gross_total_volume)
    14778    0.074    0.000    0.157    0.000 indexing.py:1668(<genexpr>)
     5476    0.071    0.000    0.133    0.000 dtypes.py:74(is_dtype)
     4926    0.070    0.000    0.275    0.000 frame.py:1900(set_value)
    23018    0.068    0.000    0.068    0.000 {abs}
     8894    0.064    0.000    0.100    0.000 __init__.py:1360(isEnabledFor)
     8874    0.062    0.000    0.161    0.000 __init__.py:1145(debug)
    20780    0.061    0.000    0.061    0.000 {hash}
     7919    0.060    0.000    0.060    0.000 {numpy.core.multiarray.zeros}
     3718    0.058    0.000    0.102    0.000 common.py:341(_get_dtype_type)
    10122    0.057    0.000    0.085    0.000 common.py:438(_apply_if_callable)
     2409    0.047    0.000    0.047    0.000 GYPSYNonSpatial.py:323(densitySw)
     2442    0.046    0.000    0.046    0.000 GYPSYNonSpatial.py:358(densityPl)
  580/410    0.045    0.000    0.258    0.001 base.py:142(__new__)
     2500    0.040    0.000    0.040    0.000 GYPSYNonSpatial.py:1442(GrossTotalVolume_Pl)
     2500    0.038    0.000    0.038    0.000 GYPSYNonSpatial.py:1550(MerchantableVolumeSw)
     2500    0.037    0.000    0.037    0.000 GYPSYNonSpatial.py:1587(MerchantableVolumePl)
     8894    0.036    0.000    0.036    0.000 __init__.py:1346(getEffectiveLevel)
     5851    0.035    0.000    0.051    0.000 internals.py:2769(ndim)
     5046    0.034    0.000    0.135    0.000 generic.py:1381(_get_item_cache)
     5146    0.033    0.000    0.077    0.000 generic.py:421(ndim)
     4926    0.031    0.000    0.033    0.000 {method 'set_value' of 'pandas.index.IndexEngine' objects}
     9024    0.028    0.000    0.028    0.000 {issubclass}
    10122    0.028    0.000    0.028    0.000 {callable}
     8986    0.027    0.000    0.027    0.000 {method 'append' of 'list' objects}
     2500    0.022    0.000    0.022    0.000 GYPSYNonSpatial.py:1404(GrossTotalVolume_Sw)
      460    0.021    0.000    0.196    0.000 series.py:134(__init__)
     1071    0.019    0.000    0.032    0.000 generic.py:2746(__setattr__)
     2672    0.018    0.000    0.027    0.000 range.py:455(__len__)
     2500    0.018    0.000    0.018    0.000 GYPSYNonSpatial.py:1471(MerchantableVolumeAw)
      540    0.018    0.000    0.112    0.000 series.py:2815(_sanitize_array)
      912    0.018    0.000    0.048    0.000 internals.py:97(__init__)
      912    0.017    0.000    0.072    0.000 internals.py:2628(make_block)
      580    0.017    0.000    0.033    0.000 common.py:356(_asarray_tuplesafe)
     2566    0.017    0.000    0.081    0.000 common.py:100(is_categorical_dtype)
     2500    0.016    0.000    0.016    0.000 GYPSYNonSpatial.py:1510(MerchantableVolumeSb)
     2500    0.016    0.000    0.016    0.000 GYPSYNonSpatial.py:1384(GrossTotalVolume_Aw)
     5434    0.015    0.000    0.015    0.000 {method 'get' of 'dict' objects}
     2452    0.015    0.000    0.073    0.000 common.py:87(is_datetime64tz_dtype)
     1794    0.015    0.000    0.015    0.000 GYPSYNonSpatial.py:271(densityAw)
      190    0.015    0.000    0.053    0.000 internals.py:2820(_rebuild_blknos_and_blklocs)
     2720    0.015    0.000    0.016    0.000 {numpy.core.multiarray.array}
     2500    0.015    0.000    0.022    0.000 frame.py:5618(<genexpr>)
      884    0.015    0.000    0.057    0.000 internals.py:2765(shape)
       67    0.015    0.000    0.058    0.001 internals.py:3382(_interleave)
        1    0.014    0.014   36.370   36.370 <string>:2(<module>)
      382    0.014    0.000    0.038    0.000 cast.py:765(_possibly_cast_to_datetime)
     2500    0.014    0.000    0.021    0.000 frame.py:5619(<genexpr>)
