         390556 function calls (381743 primitive calls) in 22.466 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.031    0.031   22.479   22.479 gypsy:3(<module>)
   319/12    0.550    0.002   20.324    1.694 {__import__}
        1    0.000    0.000   19.507   19.507 __init__.py:565(load_entry_point)
        1    0.000    0.000   19.482   19.482 __init__.py:2599(load_entry_point)
        1    0.000    0.000   19.470   19.470 __init__.py:2251(load)
        1    0.000    0.000   19.132   19.132 __init__.py:2266(resolve)
        1    0.308    0.308   11.855   11.855 cli.py:1(<module>)
        3    0.182    0.061    7.265    2.422 __init__.py:9(<module>)
        1    0.502    0.502    7.053    7.053 __init__.py:101(<module>)
        2    0.703    0.351    6.744    3.372 __init__.py:5(<module>)
       34    1.313    0.039    5.152    0.152 __init__.py:1(<module>)
        1    0.033    0.033    4.236    4.236 forward_simulation.py:6(<module>)
        1    0.070    0.070    4.192    4.192 GYPSYNonSpatial.py:3(<module>)
        1    0.089    0.089    4.122    4.122 pyplot.py:17(<module>)
        1    0.095    0.095    3.498    3.498 cbook.py:7(<module>)
        1    0.461    0.461    3.395    3.395 __init__.py:106(<module>)
        1    0.189    0.189    2.860    2.860 __init__.py:17(<module>)
        1    0.093    0.093    2.474    2.474 config_init.py:11(<module>)
        1    0.128    0.128    2.199    2.199 format.py:5(<module>)
        1    0.046    0.046    2.180    2.180 add_newdocs.py:10(<module>)
        1    0.074    0.074    1.987    1.987 colorbar.py:20(<module>)
        1    0.528    0.528    1.835    1.835 rcsetup.py:15(<module>)
        1    0.062    0.062    1.752    1.752 api.py:5(<module>)
     1065    0.020    0.000    1.592    0.001 re.py:230(_compile)
        1    0.078    0.078    1.583    1.583 groupby.py:1(<module>)
      209    0.003    0.000    1.571    0.008 re.py:192(compile)
      200    0.007    0.000    1.567    0.008 sre_compile.py:567(compile)
        1    0.037    0.037    1.491    1.491 collections.py:10(<module>)
        1    0.094    0.094    1.460    1.460 frame.py:10(<module>)
        2    0.274    0.137    1.343    0.671 index.py:2(<module>)
        2    0.212    0.106    1.324    0.662 pyparsing.py:61(<module>)
        1    0.334    0.334    1.266    1.266 backend_bases.py:33(<module>)
     10/8    0.000    0.000    1.191    0.149 __init__.py:35(load_module)
        1    0.152    0.152    1.059    1.059 fontconfig_pattern.py:7(<module>)
        1    0.034    0.034    1.058    1.058 type_check.py:3(<module>)
      200    0.016    0.000    1.041    0.005 sre_parse.py:706(parse)
  648/200    0.029    0.000    1.012    0.005 sre_parse.py:317(_parse_sub)
  905/211    0.204    0.000    1.001    0.005 sre_parse.py:395(_parse)
        1    0.063    0.063    0.991    0.991 figure.py:12(<module>)
        6    0.303    0.051    0.959    0.160 api.py:3(<module>)
        1    0.362    0.362    0.949    0.949 api.py:1(<module>)
        2    0.103    0.052    0.947    0.474 core.py:1(<module>)
        1    0.107    0.107    0.881    0.881 series.py:3(<module>)
        2    0.000    0.000    0.870    0.435 __init__.py:2976(_call_aside)
        1    0.001    0.001    0.870    0.870 __init__.py:2991(_initialize_master_working_set)
        1    0.061    0.061    0.819    0.819 _subplots.py:1(<module>)
        1    0.018    0.018    0.734    0.734 requirements.py:4(<module>)
        1    0.214    0.214    0.716    0.716 _axes.py:1(<module>)
        1    0.000    0.000    0.641    0.641 core.py:132(load_base_library)
        1    0.000    0.000    0.641    0.641 core.py:164(read_style_directory)
       22    0.001    0.000    0.617    0.028 __init__.py:1093(rc_params_from_file)
        1    0.043    0.043    0.588    0.588 plotting.py:3(<module>)
       55    0.003    0.000    0.582    0.011 pyparsing.py:2738(__init__)
        1    0.061    0.061    0.561    0.561 textpath.py:3(<module>)
        2    0.195    0.097    0.550    0.275 __init__.py:15(<module>)
        2    0.002    0.001    0.535    0.267 pyparsing.py:5353(pyparsing_common)
        1    0.255    0.255    0.533    0.533 base.py:1(<module>)
        1    0.055    0.055    0.532    0.532 converter.py:1(<module>)
       22    0.133    0.006    0.527    0.024 __init__.py:1016(_rc_params_in_file)
      200    0.004    0.000    0.514    0.003 sre_compile.py:552(_code)
    16416    0.111    0.000    0.508    0.000 sre_parse.py:212(get)
      379    0.493    0.001    0.493    0.001 {posix.stat}
       11    0.001    0.000    0.488    0.044 six.py:89(__get__)
        9    0.000    0.000    0.487    0.054 six.py:157(_resolve)
       11    0.000    0.000    0.486    0.044 six.py:78(_import_module)
        1    0.238    0.238    0.480    0.480 __init__.py:26(<module>)
        3    0.259    0.086    0.477    0.159 common.py:1(<module>)
        1    0.033    0.033    0.476    0.476 dates.py:111(<module>)
       26    0.002    0.000    0.465    0.018 __init__.py:690(add_entry)
        1    0.081    0.081    0.454    0.454 urllib2.py:76(<module>)
      170    0.022    0.000    0.448    0.003 __init__.py:1973(find_on_path)
    18314    0.318    0.000    0.434    0.000 sre_parse.py:193(__next)
       76    0.002    0.000    0.403    0.005 __init__.py:2541(activate)
 1726/200    0.120    0.000    0.395    0.002 sre_compile.py:64(_compile)
        1    0.329    0.329    0.394    0.394 contour.py:4(<module>)
      151    0.006    0.000    0.381    0.003 {map}
        1    0.375    0.375    0.376    0.376 npyio.py:1(<module>)
        1    0.188    0.188    0.355    0.355 widgets.py:10(<module>)
        1    0.000    0.000    0.338    0.338 __init__.py:2276(require)
       14    0.000    0.000    0.312    0.022 __init__.py:2522(requires)
        1    0.051    0.051    0.303    0.303 eval.py:4(<module>)
       43    0.001    0.000    0.295    0.007 pyparsing.py:1571(parseString)
       11    0.001    0.000    0.293    0.027 artist.py:1476(kwdoc)
        1    0.021    0.021    0.291    0.291 mathtext.py:16(<module>)
       22    0.000    0.000    0.288    0.013 pyparsing.py:4210(__init__)
    69/21    0.001    0.000    0.287    0.014 pyparsing.py:3702(leaveWhitespace)
